     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.586;           0.001;           0.000;          5;         31;          99.065;         234.258;         104.058;          23.383 (22.472 %);   1832.973
     CBLAS;           2.344;           0.002;           0.000;         10;         31;         649.194;         845.710;         661.373;          45.757 ( 6.918 %);   1153.568
     CBLAS;           5.273;           0.005;           0.000;         15;         31;        2110.161;        6288.903;        2649.331;         777.126 (29.333 %);    647.942
     CBLAS;           9.375;           0.009;           0.000;         20;         31;        4879.968;        6404.581;        5523.023;         384.453 ( 6.961 %);    552.552
     CBLAS;          14.648;           0.014;           0.000;         25;         31;        9550.968;       11341.161;        9983.387;         376.641 ( 3.773 %);    477.631
     CBLAS;          21.094;           0.021;           0.000;         30;         31;       19432.548;       19862.806;       19479.465;          85.850 ( 0.441 %);    352.497
     CBLAS;          28.711;           0.028;           0.000;         35;         31;       25476.323;       38735.452;       27787.158;        3172.426 (11.417 %);    336.343
     CBLAS;          37.500;           0.037;           0.000;         40;         31;       52569.581;       57950.548;       54603.230;        1322.429 ( 2.422 %);    223.559
     CBLAS;          47.461;           0.046;           0.000;         45;         31;       69480.968;       77801.806;       72525.866;        1978.285 ( 2.728 %);    213.021
     CBLAS;          58.594;           0.057;           0.000;         50;         31;       90106.065;      100297.419;       93912.903;        2224.760 ( 2.369 %);    203.098
     CBLAS;          70.898;           0.069;           0.000;         55;         31;      118020.613;      131119.387;      122552.458;        2334.483 ( 1.905 %);    188.319
     CBLAS;          84.375;           0.082;           0.000;         60;         31;      160066.419;      170602.097;      163394.690;        2610.134 ( 1.597 %);    168.095
     CBLAS;          99.023;           0.097;           0.000;         65;         31;      186573.516;      218491.516;      193694.351;        5596.753 ( 2.889 %);    166.418
     CBLAS;         114.844;           0.112;           0.000;         70;         31;      232887.742;      247788.839;      236909.878;        2905.688 ( 1.226 %);    157.799
