     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.016;           0.000;           0.000;          1;         31;           7.344;           2.161;           4.645;           2.334;           0.458 (19.610 %);   3268.371
   UNROLL4;           0.031;           0.000;           0.000;          2;         31;           4.917;           2.581;           4.581;           2.738;           0.380 (13.880 %);   5572.917
   UNROLL4;           0.062;           0.000;           0.000;          4;         31;          53.730;           3.161;           5.290;           3.366;           0.401 (11.915 %);   9067.523
   UNROLL4;           0.125;           0.000;           0.000;          8;         31;          46.786;           3.742;           6.065;           3.910;           0.404 (10.324 %);  15609.741
   UNROLL4;           0.250;           0.000;           0.000;         16;         31;         145.667;           5.323;           7.710;           5.491;           0.410 ( 7.461 %);  22232.140
   UNROLL4;           0.500;           0.000;           0.000;         32;         31;         100.330;           8.710;          11.226;           8.897;           0.425 ( 4.774 %);  27439.668
   UNROLL4;           1.000;           0.001;           0.000;         64;         31;         196.060;          16.226;          18.774;          16.395;           0.434 ( 2.646 %);  29782.478
   UNROLL4;           2.000;           0.002;           0.000;        128;         31;        1017.002;          32.806;          34.774;          33.005;           0.354 ( 1.073 %);  29588.421
   UNROLL4;           4.000;           0.004;           0.000;        256;         31;        2080.348;          68.613;          71.581;          68.895;           0.503 ( 0.730 %);  28349.133
   UNROLL4;           8.000;           0.008;           0.000;        512;         31;        3760.120;         139.548;        1128.677;         199.812;         207.647 (103.921 %);  19549.596
   UNROLL4;          16.000;           0.016;           0.000;       1024;         31;        7296.113;         281.839;        1375.710;         364.652;         228.864 (62.762 %);  21424.536
   UNROLL4;          32.000;           0.031;           0.000;       2048;         31;       55338.266;         566.806;         569.032;         567.551;           0.557 ( 0.098 %);  27530.550
   UNROLL4;          64.000;           0.062;           0.000;       4096;         31;       45419.356;        1137.355;        1403.000;        1152.169;          51.916 ( 4.506 %);  27122.755
   UNROLL4;         128.000;           0.125;           0.000;       8192;         31;       77391.040;        2280.065;        3022.484;        2370.932;         194.693 ( 8.212 %);  26360.946
   UNROLL4;         256.000;           0.250;           0.000;      16384;         31;      581827.915;        4560.355;        5740.194;        4745.890;         363.354 ( 7.656 %);  26338.582
   UNROLL4;         512.000;           0.500;           0.000;      32768;         31;      928707.868;        9125.032;       11960.581;        9553.132;         808.925 ( 8.468 %);  26169.428
   UNROLL4;        1024.000;           1.000;           0.001;      65536;         31;      798966.861;       18255.323;       22570.968;       18667.534;         790.725 ( 4.236 %);  26784.470
   UNROLL4;        2048.000;           2.000;           0.002;     131072;         31;     2017669.768;       36510.581;       41461.097;       38680.608;        1447.941 ( 3.743 %);  25852.748
   UNROLL4;        4096.000;           4.000;           0.004;     262144;         31;     4333417.510;       73046.032;       84894.677;       80411.203;        2976.614 ( 3.702 %);  24872.156
   UNROLL4;        8192.000;           8.000;           0.008;     524288;         31;    11618020.638;      150410.839;      261366.097;      168598.189;       17313.332 (10.269 %);  23725.047
   UNROLL4;       16384.000;          16.000;           0.016;    1048576;         31;    15633534.025;      454931.065;      595094.806;      480155.339;       23636.688 ( 4.923 %);  16661.275
