     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.016;           0.000;           0.000;          1;         31;           2.824;           2.452;           4.258;           2.617;           0.341 (13.041 %);   2915.529
   UNROLL8;           0.031;           0.000;           0.000;          2;         31;         141.253;           2.774;           5.548;           2.970;           0.502 (16.904 %);   5138.164
   UNROLL8;           0.062;           0.000;           0.000;          4;         31;          23.089;           2.742;           4.645;           2.885;           0.349 (12.093 %);  10579.289
   UNROLL8;           0.125;           0.000;           0.000;          8;         31;         112.183;           3.677;           4.903;           3.755;           0.209 ( 5.559 %);  16255.914
   UNROLL8;           0.250;           0.000;           0.000;         16;         31;        1429.209;           7.645;           9.645;           7.782;           0.340 ( 4.364 %);  15686.211
   UNROLL8;           0.500;           0.000;           0.000;         32;         31;         865.748;          11.516;          13.710;          11.689;           0.367 ( 3.138 %);  20886.090
   UNROLL8;           1.000;           0.001;           0.000;         64;         31;       56237.411;          22.323;          24.774;          22.561;           0.409 ( 1.812 %);  21642.622
   UNROLL8;           2.000;           0.002;           0.000;        128;         31;       11423.127;          44.000;          46.645;          44.253;           0.452 ( 1.021 %);  22067.625
   UNROLL8;           4.000;           0.004;           0.000;        256;         31;       14779.121;          92.032;          96.258;          92.600;           0.712 ( 0.769 %);  21092.018
   UNROLL8;           8.000;           0.008;           0.000;        512;         31;       27637.725;         177.097;         180.613;         178.254;           0.705 ( 0.395 %);  21913.935
   UNROLL8;          16.000;           0.016;           0.000;       1024;         31;       65098.925;         347.581;         355.194;         350.432;           1.766 ( 0.504 %);  22293.908
   UNROLL8;          32.000;           0.031;           0.000;       2048;         31;      129516.365;         690.000;        1237.871;         729.929;          95.784 (13.122 %);  21406.202
   UNROLL8;          64.000;           0.062;           0.000;       4096;         31;      383237.490;        1755.710;        3574.000;        1944.027;         399.167 (20.533 %);  16074.877
   UNROLL8;         128.000;           0.125;           0.000;       8192;         31;     1371416.503;        3501.452;        4722.516;        3633.635;         318.677 ( 8.770 %);  17200.405
   UNROLL8;         256.000;           0.250;           0.000;      16384;         31;     1920167.338;        7415.323;       11862.548;        7829.568;         928.776 (11.862 %);  15965.121
   UNROLL8;         512.000;           0.500;           0.000;      32768;         31;     5225265.348;       16613.871;       17462.871;       17085.187;         259.304 ( 1.518 %);  14632.559
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         31;    12901519.156;       33605.387;       36056.613;       34547.278;         962.380 ( 2.786 %);  14472.920
   UNROLL8;        2048.000;           2.000;           0.002;     131072;         31;   383670146.261;       67183.968;       69975.387;       67746.772;         918.987 ( 1.357 %);  14760.851
   UNROLL8;        4096.000;           4.000;           0.004;     262144;         31;    39622555.264;      134941.194;      141005.806;      138963.094;        1397.749 ( 1.006 %);  14392.311
   UNROLL8;        8192.000;           8.000;           0.008;     524288;         31;    82456267.294;      395962.032;      430208.161;      401727.081;        6214.076 ( 1.547 %);   9957.009
   UNROLL8;       16384.000;          16.000;           0.016;    1048576;         31;   167241347.668;      984964.903;     1160995.645;     1027388.258;       33861.153 ( 3.296 %);   7786.735
