     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           0.586;           0.001;           0.000;          5;         31;          96.161;         105.323;          96.881;           1.646 ( 1.699 %);   1968.759
       IJK;           2.344;           0.002;           0.000;         10;         31;         623.710;        1186.613;         673.852;         129.896 (19.277 %);   1132.206
       IJK;           5.273;           0.005;           0.000;         15;         31;        2106.097;        2778.613;        2165.263;         156.870 ( 7.245 %);    792.797
       IJK;           9.375;           0.009;           0.000;         20;         31;        4816.677;        7853.742;        5170.577;         663.310 (12.829 %);    590.216
       IJK;          14.648;           0.014;           0.000;         25;         31;        9354.226;       12986.065;       10022.691;        1071.095 (10.687 %);    475.758
       IJK;          21.094;           0.021;           0.000;         30;         31;       15891.903;       22299.548;       16900.973;        1588.033 ( 9.396 %);    406.276
       IJK;          28.711;           0.028;           0.000;         35;         31;       24974.903;       32819.871;       27631.900;        2364.308 ( 8.556 %);    338.233
       IJK;          37.500;           0.037;           0.000;         40;         31;       37913.903;       49427.000;       41659.749;        3158.591 ( 7.582 %);    293.017
       IJK;          47.461;           0.046;           0.000;         45;         31;       58185.065;       68320.968;       63558.437;        2385.978 ( 3.754 %);    243.076
       IJK;          58.594;           0.057;           0.000;         50;         31;       83892.774;       94688.645;       90220.179;        2378.532 ( 2.636 %);    211.410
       IJK;          70.898;           0.069;           0.000;         55;         31;      116724.581;      134510.806;      122220.581;        3363.277 ( 2.752 %);    188.830
       IJK;          84.375;           0.082;           0.000;         60;         31;      154122.452;      170085.677;      160394.793;        3793.573 ( 2.365 %);    171.239
       IJK;          99.023;           0.097;           0.000;         65;         31;      196436.581;      222085.323;      206096.153;        5371.127 ( 2.606 %);    156.404
       IJK;         114.844;           0.112;           0.000;         70;         31;      269749.710;      286142.129;      277716.850;        2833.323 ( 1.020 %);    134.612
