     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.586;           0.001;           0.000;          5;         31;          68.645;          74.484;          69.565;           1.013 ( 1.456 %);   2741.822
   UNROLL4;           2.344;           0.002;           0.000;         10;         31;         466.290;         470.387;         467.271;           0.778 ( 0.167 %);   1632.757
   UNROLL4;           5.273;           0.005;           0.000;         15;         31;        1341.742;        2263.677;        1471.678;         249.646 (16.963 %);   1166.433
   UNROLL4;           9.375;           0.009;           0.000;         20;         31;        2554.774;        3741.742;        2689.872;         329.890 (12.264 %);   1134.536
   UNROLL4;          14.648;           0.014;           0.000;         25;         31;        6112.419;        8560.774;        6498.346;         577.625 ( 8.889 %);    733.782
   UNROLL4;          21.094;           0.021;           0.000;         30;         31;        9609.742;       11594.774;       10806.909;         713.363 ( 6.601 %);    635.376
   UNROLL4;          28.711;           0.028;           0.000;         35;         31;       15525.323;       18852.097;       17254.955;        1269.496 ( 7.357 %);    541.642
   UNROLL4;          37.500;           0.037;           0.000;         40;         31;       22831.258;       24571.290;       23632.826;         635.919 ( 2.691 %);    516.529
   UNROLL4;          47.461;           0.046;           0.000;         45;         31;       32846.710;       39938.323;       37659.881;        1860.224 ( 4.940 %);    410.238
   UNROLL4;          58.594;           0.057;           0.000;         50;         31;       45192.710;       54610.774;       51804.370;        2798.762 ( 5.403 %);    368.183
   UNROLL4;          70.898;           0.069;           0.000;         55;         31;       59850.903;       73121.839;       68347.154;        4075.359 ( 5.963 %);    337.672
   UNROLL4;          84.375;           0.082;           0.000;         60;         31;       76969.097;       82632.161;       81482.454;        1438.995 ( 1.766 %);    337.077
   UNROLL4;          99.023;           0.097;           0.000;         65;         31;       99935.194;      119523.710;      115346.412;        4988.705 ( 4.325 %);    279.456
   UNROLL4;         114.844;           0.112;           0.000;         70;         31;      145428.194;      155820.097;      151717.314;        2744.063 ( 1.809 %);    246.406
