     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           3.128;           2.194;          19.516;           2.819;           2.998 (106.350 %);   2706.266
      BASE;           0.031;           0.000;           0.000;          2;         31;          16.287;           2.290;          18.484;           2.869;           2.804 (97.720 %);   5318.481
      BASE;           0.062;           0.000;           0.000;          4;         31;          23.389;           2.742;          16.000;           3.189;           2.300 (72.136 %);   9570.657
      BASE;           0.125;           0.000;           0.000;          8;         31;         138.384;           3.419;          11.935;           3.812;           1.460 (38.308 %);  16009.991
      BASE;           0.250;           0.000;           0.000;         16;         31;         184.566;           6.548;          20.097;           7.042;           2.344 (33.284 %);  17334.527
      BASE;           0.500;           0.000;           0.000;         32;         31;       18205.424;          14.484;          29.935;          15.049;           2.673 (17.761 %);  16223.180
      BASE;           1.000;           0.001;           0.000;         64;         31;        1779.987;          36.742;          48.548;          37.189;           2.040 ( 5.486 %);  13129.842
      BASE;           2.000;           0.002;           0.000;        128;         31;        2108.146;          84.968;         712.548;         105.497;         109.010 (103.330 %);   9256.817
      BASE;           4.000;           0.004;           0.000;        256;         31;        7653.707;         221.161;         238.548;         222.156;           2.955 ( 1.330 %);   8791.666
      BASE;           8.000;           0.008;           0.000;        512;         31;     1240906.606;         506.097;        1059.323;         563.801;         127.600 (22.632 %);   6928.425
      BASE;          16.000;           0.016;           0.000;       1024;         31;      103466.279;        1076.677;        2235.065;        1266.658;         291.578 (23.020 %);   6167.806
      BASE;          32.000;           0.031;           0.000;       2048;         31;       99914.588;        2216.387;        3393.581;        2282.962;         233.833 (10.243 %);   6844.179
      BASE;          64.000;           0.062;           0.000;       4096;         31;      798464.736;        4498.935;        5729.484;        4696.614;         371.058 ( 7.901 %);   6653.730
      BASE;         128.000;           0.125;           0.000;       8192;         31;     1418845.236;        9060.677;       13014.161;        9653.774;         997.512 (10.333 %);   6474.152
      BASE;         256.000;           0.250;           0.000;      16384;         31;     3914196.829;       18185.484;       23350.065;       19327.086;        1678.336 ( 8.684 %);   6467.607
      BASE;         512.000;           0.500;           0.000;      32768;         31;     2876836.632;       36433.516;       43617.290;       38638.543;        2365.959 ( 6.123 %);   6470.223
      BASE;        1024.000;           1.000;           0.001;      65536;         31;     5799149.765;       73692.226;       81268.065;       77366.814;        2178.976 ( 2.816 %);   6462.719
      BASE;        2048.000;           2.000;           0.002;     131072;         31;    12883515.188;      145952.097;      158425.065;      149981.068;        4291.786 ( 2.862 %);   6667.508
      BASE;        4096.000;           4.000;           0.004;     262144;         31;    74148073.610;      292172.806;      325474.194;      300356.564;        9711.494 ( 3.233 %);   6658.752
      BASE;        8192.000;           8.000;           0.008;     524288;         31;    68012317.530;      611442.903;      707330.290;      620768.385;       19421.889 ( 3.129 %);   6443.627
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;   263089113.227;     1284154.968;     1442969.129;     1307034.434;       30028.777 ( 2.297 %);   6120.726
