     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           0.586;           0.001;           0.000;          5;         31;          66.194;          85.742;          67.101;           3.353 ( 4.997 %);   2842.517
       IJK;           2.344;           0.002;           0.000;         10;         31;         557.903;         817.161;         568.012;          44.801 ( 7.887 %);   1343.176
       IJK;           5.273;           0.005;           0.000;         15;         31;        1505.323;        2748.613;        1584.395;         271.892 (17.161 %);   1083.451
       IJK;           9.375;           0.009;           0.000;         20;         31;        3742.516;        5983.677;        4024.904;         495.085 (12.301 %);    758.219
       IJK;          14.648;           0.014;           0.000;         25;         31;        7590.677;        9971.516;        7925.104;         642.220 ( 8.104 %);    601.679
       IJK;          21.094;           0.021;           0.000;         30;         31;       14030.194;       18559.032;       15094.333;        1485.658 ( 9.842 %);    454.903
       IJK;          28.711;           0.028;           0.000;         35;         31;       22789.742;       30738.323;       24284.837;        2041.708 ( 8.407 %);    384.850
       IJK;          37.500;           0.037;           0.000;         40;         31;       34722.806;       61361.032;       38851.956;        5255.082 (13.526 %);    314.193
       IJK;          47.461;           0.046;           0.000;         45;         31;       52760.935;       62699.387;       56874.492;        2597.222 ( 4.567 %);    271.642
       IJK;          58.594;           0.057;           0.000;         50;         31;       78258.097;       94398.226;       85262.855;        3428.124 ( 4.021 %);    223.702
       IJK;          70.898;           0.069;           0.000;         55;         31;      113070.516;      128459.516;      117914.101;        3242.880 ( 2.750 %);    195.727
       IJK;          84.375;           0.082;           0.000;         60;         31;      147790.968;      164982.742;      152919.930;        4352.832 ( 2.846 %);    179.609
       IJK;          99.023;           0.097;           0.000;         65;         31;      185724.355;      227988.613;      199424.024;        9210.560 ( 4.619 %);    161.636
       IJK;         114.844;           0.112;           0.000;         70;         31;      233684.839;      261952.323;      247493.049;        8126.590 ( 3.284 %);    151.051
